Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Announcement ID","Id","id","18","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Expiration Date","ExpirationDate","datetime","","","","","","","","","","","","","True","",""
"Feed Item ID","FeedItemId","reference","18","True","","","","","","","FeedItem","FeedItem","","","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Parent ID","ParentId","reference","18","","","","","","","","Parent","CollaborationGroup","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
