Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Api Version","ApiVersion","double","","","","18","","","","","","","","","True","",""
"Body","Body","textarea","1000000","","","","","","","","","","","True","True","",""
"Body CRC","BodyCrc","double","","","","18","","","","","","","","True","True","",""
"Class ID","Id","id","18","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Is Valid","IsValid","boolean","","","","","","","","","","","","","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Name","Name","string","255","","","","","","","","","","","","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"Size Without Comments","LengthWithoutComments","int","","","","","","","","","","","","","True","",""
"Status","Status","picklist","40","","","","Inactive
Active
Deleted
","","","","","","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
