Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"AfterDelete","UsageAfterDelete","boolean","","","","","","","","","","","","","True","",""
"AfterInsert","UsageAfterInsert","boolean","","","","","","","","","","","","","True","",""
"AfterUndelete","UsageAfterUndelete","boolean","","","","","","","","","","","","","True","",""
"AfterUpdate","UsageAfterUpdate","boolean","","","","","","","","","","","","","True","",""
"Api Version","ApiVersion","double","","","","18","","","","","","","","","True","",""
"BeforeDelete","UsageBeforeDelete","boolean","","","","","","","","","","","","","True","",""
"BeforeInsert","UsageBeforeInsert","boolean","","","","","","","","","","","","","True","",""
"BeforeUpdate","UsageBeforeUpdate","boolean","","","","","","","","","","","","","True","",""
"Body","Body","textarea","1000000","","","","","","","","","","","True","True","",""
"Body CRC","BodyCrc","double","","","","18","","","","","","","","True","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Custom Object Definition ID","TableEnumOrId","picklist","40","","","","Account
Asset
Attachment
Campaign
CampaignMember
Case
CaseComment
CollaborationFolder
CollaborationFolderMember
CollaborationGroup
CollaborationGroupMember
Contact
ContentDocument
ContentVersion
Contract
DandBCompany
Event
FeedComment
FeedItem
Idea
IdeaComment
Lead
Macro
Note
Opportunity
OpportunityLineItem
Order
OrderItem
Partner
Pricebook2
Product2
RecordOrigin
SocialPersona
Solution
Task
Topic
TopicAssignment
User
WorkCoaching
WorkFeedback
WorkFeedbackQuestion
WorkFeedbackQuestionSet
WorkFeedbackRequest
WorkGoal
WorkGoalCollaborator
WorkGoalLink
WorkPerformanceCycle
","","","","","","","True","True","",""
"Is Valid","IsValid","boolean","","","","","","","","","","","","","True","",""
"IsBulk","UsageIsBulk","boolean","","","","","","","","","","","","","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Name","Name","string","255","","","","","","","","","","","","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"Size Without Comments","LengthWithoutComments","int","","","","","","","","","","","","","True","",""
"Status","Status","picklist","40","","","","Inactive
Active
Deleted
","","","","","","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Trigger ID","Id","id","18","","","","","","","","","","","","","",""
