Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Approval ID","Id","id","18","","","","","","","","","","","","","",""
"Approve/Reject Comment","ApproveComment","string","4000","","","","","","","","","","","True","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Owner ID","OwnerId","reference","18","","","","","","","","Owner","User","","","True","",""
"Parent ID","ParentId","reference","18","","","","","","","","Parent","Contract","","","True","",""
"Request Comment","RequestComment","string","4000","","","","","","","","","","","True","True","",""
"Status","Status","picklist","40","","","","Pending
Approved
Rejected
","","","","","","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
