Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Active","IsActive","boolean","","","","","","","","","","","","","True","",""
"Business Hours ID","Id","id","18","","","","","","","","","","","","","",""
"Business Hours Name","Name","string","80","","","","","","","","","","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Default Business Hours","IsDefault","boolean","","","","","","","","","","","","","True","",""
"Friday End","FridayEndTime","time","","","","","","","","","","","","True","True","",""
"Friday Start","FridayStartTime","time","","","","","","","","","","","","True","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Monday End","MondayEndTime","time","","","","","","","","","","","","True","True","",""
"Monday Start","MondayStartTime","time","","","","","","","","","","","","True","True","",""
"Saturday End","SaturdayEndTime","time","","","","","","","","","","","","True","True","",""
"Saturday Start","SaturdayStartTime","time","","","","","","","","","","","","True","True","",""
"Sunday End","SundayEndTime","time","","","","","","","","","","","","True","True","",""
"Sunday Start","SundayStartTime","time","","","","","","","","","","","","True","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Thursday End","ThursdayEndTime","time","","","","","","","","","","","","True","True","",""
"Thursday Start","ThursdayStartTime","time","","","","","","","","","","","","True","True","",""
"Time Zone","TimeZoneSidKey","picklist","40","","","","Pacific/Kiritimati
Pacific/Chatham
Pacific/Auckland
Pacific/Enderbury
Pacific/Tongatapu
Asia/Kamchatka
Pacific/Fiji
Pacific/Norfolk
Australia/Lord_Howe
Australia/Sydney
Pacific/Guadalcanal
Australia/Adelaide
Australia/Brisbane
Australia/Darwin
Asia/Seoul
Asia/Tokyo
Asia/Hong_Kong
Asia/Kuala_Lumpur
Asia/Manila
Asia/Shanghai
Asia/Singapore
Asia/Taipei
Australia/Perth
Asia/Bangkok
Asia/Ho_Chi_Minh
Asia/Jakarta
Asia/Rangoon
Asia/Dhaka
Asia/Kathmandu
Asia/Colombo
Asia/Kolkata
Asia/Karachi
Asia/Tashkent
Asia/Yekaterinburg
Asia/Kabul
Asia/Baku
Asia/Dubai
Asia/Tbilisi
Asia/Yerevan
Asia/Tehran
Africa/Nairobi
Asia/Baghdad
Asia/Kuwait
Asia/Riyadh
Europe/Minsk
Europe/Moscow
Africa/Cairo
Africa/Johannesburg
Asia/Beirut
Asia/Jerusalem
Europe/Athens
Europe/Bucharest
Europe/Helsinki
Europe/Istanbul
Africa/Algiers
Europe/Amsterdam
Europe/Berlin
Europe/Brussels
Europe/Paris
Europe/Prague
Europe/Rome
Africa/Casablanca
Europe/Dublin
Europe/Lisbon
Europe/London
GMT
America/Scoresbysund
Atlantic/Azores
Atlantic/Cape_Verde
America/Sao_Paulo
Atlantic/South_Georgia
America/Argentina/Buenos_Aires
America/Santiago
America/St_Johns
America/Halifax
America/Puerto_Rico
Atlantic/Bermuda
America/Caracas
America/Bogota
America/Indiana/Indianapolis
America/Lima
America/New_York
America/Panama
America/Chicago
America/El_Salvador
America/Mexico_City
America/Denver
America/Mazatlan
America/Phoenix
America/Los_Angeles
America/Tijuana
Pacific/Pitcairn
America/Anchorage
Pacific/Gambier
Pacific/Marquesas
America/Adak
Pacific/Honolulu
Pacific/Niue
Pacific/Pago_Pago
","","","","","","","","True","",""
"Tuesday End","TuesdayEndTime","time","","","","","","","","","","","","True","True","",""
"Tuesday Start","TuesdayStartTime","time","","","","","","","","","","","","True","True","",""
"Wednesday End","WednesdayEndTime","time","","","","","","","","","","","","True","True","",""
"Wednesday Start","WednesdayStartTime","time","","","","","","","","","","","","True","True","",""
