Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Active","IsActive","boolean","","","","","","","","","","","","","","",""
"Business Process ID","Id","id","18","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Description","Description","string","255","","","","","","","","","","","True","True","",""
"Entity Enumeration Or ID","TableEnumOrId","picklist","40","","","","Case
Lead
Opportunity
Solution
","","","","","","","","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Name","Name","string","80","","","","","","","","","","","","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
