Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Case ID","ParentId","reference","18","","","","","","","","Parent","Case","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Member ID","MemberId","reference","18","","","","","","","","Member","Contact","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Team Member Id","Id","id","18","","","","","","","","","","","","","",""
"Team Role ID","TeamRoleId","reference","18","","","","","","","","TeamRole","CaseTeamRole","","","True","",""
"Team Template Member ID","TeamTemplateMemberId","reference","18","","","","","","","","TeamTemplateMember","CaseTeamTemplateMember","","True","","",""
