Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Combined Attachment Id","Id","id","18","","","","","","","","","","","","","",""
"Content Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Content Size","ContentSize","int","","","","","","","","","","","","True","","",""
"Content URL","ContentUrl","url","255","","","","","","","","","","","True","","",""
"Created","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"External Data Source","ExternalDataSourceName","string","80","","","","","","","","","","","True","","",""
"File Extension","FileExtension","string","40","","","","","","","","","","","True","","",""
"File Type","FileType","string","30","","","","","","","","","","","True","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Parent ID","ParentId","reference","18","","","","","","","","Parent","Account","","","","",""
"Title","Title","string","255","","","","","","","","","","","True","","",""
"Type","RecordType","string","30","","","","","","","","","","","True","","",""
