Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Account ID","AccountId","reference","18","","","","","","","","Account","Account","","True","True","",""
"Assistant's Name","AssistantName","string","40","","","","","","","","","","","True","True","",""
"Asst. Phone","AssistantPhone","phone","40","","","","","","","","","","","True","True","",""
"Birthdate","Birthdate","date","","","","","","","","","","","","True","True","",""
"Business Fax","Fax","phone","40","","","","","","","","","","","True","True","",""
"Business Phone","Phone","phone","40","","","","","","","","","","","True","True","",""
"Clean Status","CleanStatus","picklist","40","","","","Matched
Different
Acknowledged
NotFound
Inactive
Pending
SelectMatch
Skipped
","","","","","","","True","True","",""
"Contact Description","Description","textarea","32000","","","","","","","","","","","True","True","",""
"Contact ID","Id","id","18","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Data.com Key","Jigsaw","string","20","","","","","","","","","","","True","True","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Department","Department","string","80","","","","","","","","","","","True","True","",""
"Email","Email","email","80","","","","","","","","","","","True","True","",""
"Email Bounced Date","EmailBouncedDate","datetime","","","","","","","","","","","","True","True","",""
"Email Bounced Reason","EmailBouncedReason","string","255","","","","","","","","","","","True","True","",""
"First Name","FirstName","string","40","","","","","","","","","","","True","True","",""
"Full Name","Name","string","121","","","","","","","","","","","","","",""
"Home Phone","HomePhone","phone","40","","","","","","","","","","","True","True","",""
"Is Email Bounced","IsEmailBounced","boolean","","","","","","","","","","","","","","",""
"Jigsaw Contact ID","JigsawContactId","string","20","","","","","","","","JigsawContact","","","True","","",""
"Languages","Languages__c","string","100","","","","","","","","","","","True","True","True",""
"Last Activity","LastActivityDate","date","","","","","","","","","","","","True","","",""
