Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Active Contacts","ActiveContacts","int","","","","","","","","","","","","True","","",""
"Annual Revenue","AnnualRevenue","currency","","","","18","","","","","","","","True","","",""
"City","City","string","255","","","","","","","","","","","True","","",""
"Company Founding Date","YearStarted","string","4","","","","","","","","","","","True","","",""
"Company Location","Site","string","128","","","","","","","","","","","True","","",""
"Company Name","Name","string","128","","","","","","","","","","","True","","",""
"Company Synopsis","Description","string","400","","","","","","","","","","","True","","",""
"Country","Country","string","50","","","","","","","","","","","True","","",""
"Data.com Company ID","ExternalId","string","255","","","","","","","","","","","True","","",""
"Data.com Company ID","CompanyId","string","25","","","","","","","","","","","True","","",""
"Duns Number","DunsNumber","string","128","","","","","","","","","","","True","","",""
"Employee Count","NumberOfEmployees","int","","","","","","","","","","","","True","","",""
"Fax Number","Fax","phone","40","","","","","","","","","","","True","","",""
"Inactive Status","IsInactive","boolean","","","","","","","","","","","","","","",""
"Industry","Industry","string","128","","","","","","","","","","","True","","",""
"NAICS Code","NaicsCode","string","128","","","","","","","","","","","True","","",""
"NAICS Description","NaicsDesc","string","128","","","","","","","","","","","True","","",""
"Owned Status","IsOwned","boolean","","","","","","","","","","","","","","",""
"Ownership Status","Ownership","string","16","","","","","","","","","","","True","","",""
"Phone Number","Phone","phone","40","","","","","","","","","","","True","","",""
"SIC Code","Sic","string","128","","","","","","","","","","","True","","",""
"SIC Description","SicDesc","string","128","","","","","","","","","","","True","","",""
"State","State","string","50","","","","","","","","","","","True","","",""
"Stock Ticker Symbol","TickerSymbol","string","16","","","","","","","","","","","True","","",""
"Street Address","Street","string","255","","","","","","","","","","","True","","",""
"System ID","Id","id","18","","","","","","","","","","","","","",""
"Trade Style","TradeStyle","string","128","","","","","","","","","","","True","","",""
"Updated Date","UpdatedDate","datetime","","","","","","","","","","","","True","","",""
"Website","Website","url","255","","","","","","","","","","","True","","",""
"Zip","Zip","string","32","","","","","","","","","","","True","","",""
