Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"City","City","string","255","","","","","","","","","","","True","","",""
"Company","CompanyName","string","128","","","","","","","","","","","","","",""
"Company Id","CompanyId","string","25","","","","","","","","","","","True","","",""
"Country","Country","string","50","","","","","","","","","","","True","","",""
"Data.com Contact ID","ExternalId","string","255","","","","","","","","","","","True","","",""
"Data.com Contact ID","ContactId","string","25","","","","","","","","","","","True","","",""
"Department","Department","string","128","","","","","","","","","","","True","","",""
"Email","Email","email","80","","","","","","","","","","","True","","",""
"First name","FirstName","string","128","","","","","","","","","","","True","","",""
"Inactive Status","IsInactive","boolean","","","","","","","","","","","","","","",""
"Last name","LastName","string","128","","","","","","","","","","","True","","",""
"Level","Level","string","128","","","","","","","","","","","True","","",""
"Owned","IsOwned","boolean","","","","","","","","","","","","","","",""
"Phone","Phone","phone","40","","","","","","","","","","","True","","",""
"State","State","string","50","","","","","","","","","","","True","","",""
"Street Address","Street","string","255","","","","","","","","","","","True","","",""
"System ID","Id","id","18","","","","","","","","","","","","","",""
"Title","Title","string","128","","","","","","","","","","","True","","",""
"Updated Date","UpdatedDate","datetime","","","","","","","","","","","","True","","",""
"ZIP code","Zip","string","32","","","","","","","","","","","True","","",""
