Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Data.com Object Type","DatacloudEntityType","picklist","255","","","","0
1
2
4
","","","","","","","","","",""
"Data.com Owned Entity ID","Id","id","18","","","","","","","","","","","","","",""
"Data.com Purchase Type","PurchaseType","picklist","255","","","","0
1
2
","","","","","","","True","","",""
"Data.com Usage ID","PurchaseUsageId","reference","18","","","","","","","","PurchaseUsage","DatacloudPurchaseUsage","","True","","",""
"Data.com key","DataDotComKey","string","25","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Description","Name","string","255","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"User ID","UserId","reference","18","","","","","","","","User","User","","","","",""
