Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Access Type","AccessType","picklist","40","","","","Shared
Public
Hidden
PublicInternal
","","","","","","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Folder ID","Id","id","18","","","","","","","","","","","","","",""
"Folder Unique Name","DeveloperName","string","80","","","","","","","","","","","True","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Name","Name","string","40","","","","","","","","","","","","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"Read Only","IsReadonly","boolean","","","","","","","","","","","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Type","Type","picklist","40","","","","Document
Email
Report
Dashboard
","","","","","","","","True","",""
