Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Address","Address","address","","","","","","","","","","","","True","","",""
"Annual Revenue","AnnualRevenue","currency","","","","18","","","","","","","","True","True","",""
"City","City","string","40","","","","","","","","","","","True","True","",""
"Clean Status","CleanStatus","picklist","40","","","","Matched
Different
Acknowledged
NotFound
Inactive
Pending
SelectMatch
Skipped
","","","","","","","True","True","",""
"Company","Company","string","255","","","","","","","","","","","","True","",""
"Company D-U-N-S Number","CompanyDunsNumber","string","9","","","","","","","","","","","True","True","",""
"Converted","IsConverted","boolean","","","","","","","","","","","","","True","",""
"Converted Account ID","ConvertedAccountId","reference","18","","","","","","","","ConvertedAccount","Account","","True","","",""
"Converted Contact ID","ConvertedContactId","reference","18","","","","","","","","ConvertedContact","Contact","","True","","",""
"Converted Date","ConvertedDate","date","","","","","","","","","","","","True","","",""
"Converted Opportunity ID","ConvertedOpportunityId","reference","18","","","","","","","","ConvertedOpportunity","Opportunity","","True","","",""
"Country","Country","string","80","","","","","","","","","","","True","True","",""
