Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Address","Address","address","","","","","","","","","","","","True","","",""
"Address is Flagged Wrong","IsFlaggedWrongAddress","boolean","","","","","","","","","","","","","","",""
"Address is Reviewed","IsReviewedAddress","boolean","","","","","","","","","","","","","","",""
"Annual Revenue","AnnualRevenue","currency","","","","18","","","","","","","","True","","",""
"Annual Revenue is Different","IsDifferentAnnualRevenue","boolean","","","","","","","","","","","","","","",""
"Annual Revenue is Flagged Wrong","IsFlaggedWrongAnnualRevenue","boolean","","","","","","","","","","","","","","",""
"Annual Revenue is Reviewed","IsReviewedAnnualRevenue","boolean","","","","","","","","","","","","","","",""
"City","City","string","40","","","","","","","","","","","True","","",""
"City is Different","IsDifferentCity","boolean","","","","","","","","","","","","","","",""
"Cleaned by Job","CleanedByJob","boolean","","","","","","","","","","","","","","",""
"Cleaned by User","CleanedByUser","boolean","","","","","","","","","","","","","","",""
"Company D-U-N-S Number","CompanyDunsNumber","string","9","","","","","","","","","","","True","","",""
"Company D-U-N-S Number is Different","IsDifferentCompanyDunsNumber","boolean","","","","","","","","","","","","","","",""
"Company D-U-N-S Number is Flagged Wrong","IsFlaggedWrongCompanyDunsNumber","boolean","","","","","","","","","","","","","","",""
"Company D-U-N-S Number is Reviewed","IsReviewedCompanyDunsNumber","boolean","","","","","","","","","","","","","","",""
"Company Name","CompanyName","string","255","","","","","","","","","","","True","","",""
"Company Name is Different","IsDifferentCompanyName","boolean","","","","","","","","","","","","","","",""
"Company Name is Flagged Wrong","IsFlaggedWrongCompanyName","boolean","","","","","","","","","","","","","","",""
"Company Name is Reviewed","IsReviewedCompanyName","boolean","","","","","","","","","","","","","","",""
"Contact Status in Salesforce","IsInactive","boolean","","","","","","","","","","","","","","",""
"Contact Status per Data.com","ContactStatusDataDotCom","picklist","255","","","","IsActiveContactDataDotCom
WrongPhoneDataDotCom
WrongEmailDataDotCom
WrongPhoneAndEmailDataDotCom
NotAtCompanyContactDataDotCom
InactiveDataDotCom
CompanyOutOfBusinessDataDotCom
CompanyNeverExistedDataDotCom
DeadEmailDomainDataDotCom
","","","","","","","True","","",""
"Country","Country","string","80","","","","","","","","","","","True","","",""
"Country Code","CountryCode","picklist","10","","","","AF
AX
AL
DZ
AD
AO
AI
AQ
AG
AR
AM
AW
AU
AT
AZ
BS
BH
BD
BB
BY
BE
BZ
BJ
BM
BT
BO
BQ
BA
BW
BV
BR
IO
BN
BG
BF
BI
KH
CM
CA
CV
KY
CF
TD
CL
CN
CX
CC
CO
KM
CG
CD
CK
CR
CI
HR
CU
CW
CY
CZ
DK
DJ
DM
DO
EC
EG
SV
GQ
ER
EE
ET
FK
FO
FJ
FI
FR
GF
PF
TF
GA
GM
GE
DE
GH
GI
GR
GL
GD
GP
GT
GG
GN
GW
GY
HT
HM
VA
HN
HU
IS
IN
ID
IR
IQ
IE
IM
IL
IT
JM
JP
JE
JO
KZ
KE
KI
KP
KR
KW
KG
LA
LV
LB
LS
LR
LY
LI
LT
LU
MO
MK
MG
MW
MY
MV
ML
MT
MQ
MR
MU
YT
MX
MD
MC
MN
ME
MS
MA
MZ
MM
NA
NR
NP
NL
NC
NZ
NI
NE
NG
NU
NF
NO
OM
PK
PS
PA
PG
PY
PE
PH
PN
PL
PT
QA
RE
RO
RU
RW
BL
SH
KN
LC
MF
PM
VC
WS
SM
ST
SA
SN
RS
SC
SL
SG
SX
SK
SI
SB
SO
ZA
GS
SS
ES
LK
SD
SR
SJ
SZ
SE
CH
SY
TW
TJ
TZ
TH
TL
TG
TK
TO
TT
TN
TR
TM
TC
TV
UG
UA
AE
GB
US
UY
UZ
VU
VE
VN
VG
WF
EH
YE
ZM
ZW
","","","","","","","True","","",""
"Country Code is Different","IsDifferentCountryCode","boolean","","","","","","","","","","","","","","",""
"Country is Different","IsDifferentCountry","boolean","","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"D&B Company D-U-N-S Number","DandBCompanyDunsNumber","string","9","","","","","","","","","","","True","","",""
"D&B Company D-U-N-S Number is Different","IsDifferentDandBCompanyDunsNumber","boolean","","","","","","","","","","","","","","",""
"D&B Company D-U-N-S Number is Reviewed","IsReviewedDandBCompanyDunsNumber","boolean","","","","","","","","","","","","","","",""
"Data.com Company ID","DataDotComCompanyId","string","20","","","","","","","","","","","True","","",""
"Data.com ID","DataDotComId","string","20","","","","","","","","","","","True","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Email","Email","email","80","","","","","","","","","","","True","","",""
"Email is Different","IsDifferentEmail","boolean","","","","","","","","","","","","","","",""
"Email is Flagged Wrong","IsFlaggedWrongEmail","boolean","","","","","","","","","","","","","","",""
"Email is Reviewed","IsReviewedEmail","boolean","","","","","","","","","","","","","","",""
"First Name","FirstName","string","255","","","","","","","","","","","True","","",""
"First Name is Different","IsDifferentFirstName","boolean","","","","","","","","","","","","","","",""
"Industry","Industry","picklist","40","","","","Agriculture
Apparel
Banking
Biotechnology
Chemicals
Communications
Construction
Consulting
Education
Electronics
Energy
Engineering
Entertainment
Environmental
Finance
Food & Beverage
Government
Healthcare
Hospitality
Insurance
Machinery
Manufacturing
Media
Not For Profit
Recreation
Retail
Shipping
Technology
Telecommunications
Transportation
Utilities
Other
","","","","","","","True","","",""
"Industry is Different","IsDifferentIndustry","boolean","","","","","","","","","","","","","","",""
"Industry is Flagged Wrong","IsFlaggedWrongIndustry","boolean","","","","","","","","","","","","","","",""
"Industry is Reviewed","IsReviewedIndustry","boolean","","","","","","","","","","","","","","",""
"Last Matched Date","LastMatchedDate","datetime","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Name","LastName","string","255","","","","","","","","","","","True","","",""
"Last Name is Different","IsDifferentLastName","boolean","","","","","","","","","","","","","","",""
"Last Status Changed Date","LastStatusChangedDate","datetime","","","","","","","","","","","","True","","",""
"Latitude","Latitude","double","","","","18","","","","","","","","True","","",""
"Lead Clean Info ID","Id","id","18","","","","","","","","","","","","","",""
"Lead Clean Info Name","Name","string","255","","","","","","","","","","","","","",""
"Lead ID","LeadId","reference","18","","","","","","","","Lead","Lead","","","","",""
"Longitude","Longitude","double","","","","18","","","","","","","","True","","",""
"Name is Flagged Wrong","IsFlaggedWrongName","boolean","","","","","","","","","","","","","","",""
"Name is Reviewed","IsReviewedName","boolean","","","","","","","","","","","","","","",""
"Number of Employees","NumberOfEmployees","int","","","","","","","","","","","","True","","",""
"Number of Employees is Different","IsDifferentNumberOfEmployees","boolean","","","","","","","","","","","","","","",""
"Number of Employees is Flagged Wrong","IsFlaggedWrongNumberOfEmployees","boolean","","","","","","","","","","","","","","",""
"Number of Employees is Reviewed","IsReviewedNumberOfEmployees","boolean","","","","","","","","","","","","","","",""
"Phone","Phone","phone","40","","","","","","","","","","","True","","",""
"Phone is Different","IsDifferentPhone","boolean","","","","","","","","","","","","","","",""
"Phone is Flagged Wrong","IsFlaggedWrongPhone","boolean","","","","","","","","","","","","","","",""
"Phone is Reviewed","IsReviewedPhone","boolean","","","","","","","","","","","","","","",""
"State","State","string","80","","","","","","","","","","","True","","",""
