Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Custom Object Definition ID","SobjectType","picklist","40","","","","Account
ActionApex
ActionChatterPost
ActionEmail
ActionFieldUpdate
ActionKnowledgeSubmit
ActionQuickCreate
ActionSend
ActionTask
Activity
AdditionalNumber
AllInstalledPackageVersion
AllOrganization
AllPackage
AllPackageVersion
AllUsersBasic
Announcement
ApexClass
ApexComponent
ApexLog
ApexPage
ApexTestResult
ApexTrigger
AppIpRange
Application__c
Approval
Asset
AssociationQueueItem
AsyncApexJob
AsyncApiBatch
Attachment
AuraDefinitionBundle
AuthProvider
AuthSession
BrandTemplate
BusinessHours
CallCenter
Campaign
CampaignMember
Case
CaseEscalation
Certificate
CertificateIp
ClientBrowser
CollaborationGroup
Community
ComparisonSummary
ConnectedApplication
ConnectivityAttributes
Contact
ContentDistribution
ContentDistributionView
ContentDocument
ContentVersion
ContextFieldAttributes
Contract
CronTrigger
CustomEntityDefinition
CustomIndex
CustomPermission
CustomPermissionDependency
CustomReportType
DandBCompany
Dashboard
DashboardComponent
Document
Domain
DomainSite
EmailBrand
EmailRoutingAddress
EmailServicesAddress
EmailServicesFunction
EmailStatus
EmailTemplate
EntityHistory
EntitySubscription
Event
EventAssociationItem
ExternalDataSource
ExternalDataUserAuth
ExternalSocialAccount
ExternalString
FeatureLicense
FeedPostTemplate
Folder
Holiday
Idea
InteractionDefinition
InteractionDefinitionVersion
InteractionLayoutDetail
IpWhitelist
JobQueue
Lead
ListPoolUsage
ListView
LocalizedValue
LoginBrand
LoginBrandAsset
LoginFlow
LoginHistory
LoginIp
Macro
MacroAction
MailAssociationItem
MailmergeTemplate
MassMail
MobileConfig
MobileDevice
Note
OauthConsumer
ObjectPermissions
Opportunity
OpportunityLineItem
Order
OrderItem
Organization
PackageLicense
PackageOperationError
ParallelJobStatus
PermissionSet
PermissionSetAssignment
PermissionSetLicense
PermissionSetLicenseAssign
Previous_Address__c
Previous_Name__c
Pricebook2
PricebookEntry
ProcessDefinition
ProcessInstanceStep
ProcessInstanceWorkitem
ProcessTimeQueue
Product2
Profile
PushUpgradeJob
PushUpgradeJobError
PushUpgradeRequest
QuickActionDefinition
RateLimitingNotification
RemoteProxy
Report
ReportJob
Scontrol
SearchPromotionRule
SocialPersona
SoftphoneLayout
Solution
StaticResource
Task
TaskAssociationItem
TenantAddOnLicense
TenantEditionLicense
TenantLicensingRequest
TenantPlatformLicense
TenantUsageEntitlement
TenantUserLicense
Topic
Training
User
UserLicense
UserRole
Vote
WorkflowRule
WorkflowTimeQueue
XOrgHub
","","","","","","","True","","",""
"Is SOQL Compatible","IsSoqlCompatible","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Referenced Date","LastReferencedDate","datetime","","","","","","","","","","","","True","","",""
"Last Viewed Date","LastViewedDate","datetime","","","","","","","","","","","","True","","",""
"List View ID","Id","id","18","","","","","","","","","","","","","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"View Name","Name","string","40","","","","","","","","","","","","","",""
"View Unique Name","DeveloperName","string","80","","","","","","","","","","","","","",""
