Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"API Type","ApiType","string","64","","","","","","","","","","","True","","",""
"API Version","ApiVersion","string","32","","","","","","","","","","","True","","",""
"Application","Application","string","64","","","","","","","","","","","True","","",""
"Browser","Browser","string","64","","","","","","","","","","","True","","",""
"Client Version","ClientVersion","string","64","","","","","","","","","","","True","","",""
"Login History Id","Id","id","18","","","","","","","","","","","","","",""
"Login Time","LoginTime","datetime","","","","","","","","","","","","","","",""
"Login Type","LoginType","picklist","1","","","","","","","","","","","","","",""
"Login URL","LoginUrl","string","120","","","","","","","","","","","True","","",""
"Platform","Platform","string","64","","","","","","","","","","","True","","",""
"Source IP","SourceIp","string","39","","","","","","","","","","","True","","",""
"Status","Status","string","128","","","","","","","","","","","True","","",""
"User ID","UserId","reference","18","","","","","","","","","User","","True","","",""
