Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Label","MasterLabel","string","80","","","","","","","","","","","","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Master Language","Language","picklist","40","","","","en_US
de
es
fr
it
ja
sv
ko
zh_TW
zh_CN
pt_BR
nl_NL
da
th
fi
ru
es_MX
no
","","","","","","","True","True","",""
"Mdm Provider Api Access Token","MdmProviderApiAccessToken","string","255","","","","","","","","","","","True","True","",""
"Mdm Provider Api Password","MdmProviderApiPassword","string","255","","","","","","","","","","","True","True","",""
"Mdm Provider Api Username","MdmProviderApiUsername","string","255","","","","","","","","","","","True","True","",""
"Mdm Provider Enroll Endpoint","MdmProviderEnrollEndpoint","url","255","","","","","","","","","","","True","True","",""
"Mdm Provider Push App Endpoint","MdmProviderPushAppEndpoint","url","255","","","","","","","","","","","True","True","",""
"Name","DeveloperName","string","80","","","","","","","","","","","","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"Provider","Provider","picklist","255","","","","salesforce
mobileiron
airwatch
","","","","","","","","True","",""
"Provider Id","Id","id","18","","","","","","","","","","","","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
