Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Date","ServiceDate","date","","","","","","","","","","","","True","True","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Line Description","Description","string","255","","","","","","","","","","","True","True","",""
"Line Item ID","Id","id","18","","","","","","","","","","","","","",""
"List Price","ListPrice","currency","","","","18","","","","","","","","True","","",""
"Opportunity ID","OpportunityId","reference","18","","","","","","","","Opportunity","Opportunity","","","True","",""
"Opportunity Product Name","Name","string","376","","","","","","","","","","","True","","",""
"Price Book Entry ID","PricebookEntryId","reference","18","","","","","","","","PricebookEntry","PricebookEntry","","True","True","",""
"Product Code","ProductCode","string","255","","","","","","","","","","","True","","",""
"Product ID","Product2Id","reference","18","","","","","","","","Product2","Product2","","True","","",""
"Quantity","Quantity","double","","","","12","","","","","","","","","True","",""
"Sales Price","UnitPrice","currency","","","","18","","","","","","","","True","True","",""
"Sort Order","SortOrder","int","","","","","","","","","","","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Total Price","TotalPrice","currency","","","","18","","","","","","","","True","True","",""
