Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Address","Address","address","","","","","","","","","","","","True","","",""
"City","City","string","40","","","","","","","","","","","True","","",""
"Compliance BCC Email","ComplianceBccEmail","email","80","","","","","","","","","","","True","","",""
"Country","Country","string","80","","","","","","","","","","","True","","",""
"Country Code","CountryCode","picklist","10","","","","AF
AX
AL
DZ
AD
AO
AI
AQ
AG
AR
AM
AW
AU
AT
AZ
BS
BH
BD
BB
BY
BE
BZ
BJ
BM
BT
BO
BQ
BA
BW
BV
BR
IO
BN
BG
BF
BI
KH
CM
CA
CV
KY
CF
TD
CL
CN
CX
CC
CO
KM
CG
CD
CK
CR
CI
HR
CU
CW
CY
CZ
DK
DJ
DM
DO
EC
EG
SV
GQ
ER
EE
ET
FK
FO
FJ
FI
FR
GF
PF
TF
GA
GM
GE
DE
GH
GI
GR
GL
GD
GP
GT
GG
GN
GW
GY
HT
HM
VA
HN
HU
IS
IN
ID
IR
IQ
IE
IM
IL
IT
JM
JP
JE
JO
KZ
KE
KI
KP
KR
KW
KG
LA
LV
LB
LS
LR
LY
LI
LT
LU
MO
MK
MG
MW
MY
MV
ML
MT
MQ
MR
MU
YT
MX
MD
MC
MN
ME
MS
MA
MZ
MM
NA
NR
NP
NL
NC
NZ
NI
NE
NG
NU
NF
NO
OM
PK
PS
PA
PG
PY
PE
PH
PN
PL
PT
QA
RE
RO
RU
RW
BL
SH
KN
LC
MF
PM
VC
WS
SM
ST
SA
SN
RS
SC
SL
SG
SX
SK
SI
SB
SO
ZA
GS
SS
ES
LK
SD
SR
SJ
SZ
SE
CH
SY
TW
TJ
TZ
TH
TL
TG
TK
TO
TT
TN
TR
TM
TC
TV
UG
UA
AE
GB
US
UY
UZ
VU
VE
VN
VG
WF
EH
YE
ZM
ZW
","","","","","","","True","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Default Account Access","DefaultAccountAccess","picklist","40","","","","None
Read
Edit
","","","","","","","True","","",""
"Default Calendar Access","DefaultCalendarAccess","picklist","40","","","","HideDetails
HideDetailsInsert
ShowDetails
ShowDetailsInsert
AllowEdits
","","","","","","","True","","",""
"Default Campaign Access","DefaultCampaignAccess","picklist","40","","","","None
Read
Edit
All
","","","","","","","True","","",""
"Default Case Access","DefaultCaseAccess","picklist","40","","","","None
Read
Edit
ReadEditTransfer
","","","","","","","True","","",""
"Default Contact Access","DefaultContactAccess","picklist","40","","","","None
Read
Edit
ControlledByParent
","","","","","","","True","","",""
"Default Lead Access","DefaultLeadAccess","picklist","40","","","","None
Read
Edit
ReadEditTransfer
","","","","","","","True","","",""
"Default Opportunity Access","DefaultOpportunityAccess","picklist","40","","","","None
Read
Edit
","","","","","","","True","","",""
"Default Price Book Access","DefaultPricebookAccess","picklist","40","","","","None
Read
ReadSelect
","","","","","","","True","","",""
"Division","Division","string","80","","","","","","","","","","","True","","",""
"Edition","OrganizationType","picklist","40","","","","Team Edition
Professional Edition
Enterprise Edition
Developer Edition
Personal Edition
Unlimited Edition
Contact Manager Edition
Base Edition
","","","","","","","True","","",""
"Fax","Fax","phone","40","","","","","","","","","","","True","","",""
"Fiscal Year Name by Start","UsesStartDateAsFiscalYearName","boolean","","","","","","","","","","","","","","",""
"Fiscal Year Starts In","FiscalYearStartMonth","int","","","","","","","","","","","","True","","",""
"Info Emails","ReceivesInfoEmails","boolean","","","","","","","","","","","","","","",""
"Info Emails Admin","ReceivesAdminInfoEmails","boolean","","","","","","","","","","","","","","",""
"Instance Name","InstanceName","string","5","","","","","","","","","","","True","","",""
"Is Sandbox","IsSandbox","boolean","","","","","","","","","","","","","","",""
"Language","LanguageLocaleKey","picklist","40","","","","en_US
de
es
fr
it
ja
sv
ko
zh_TW
zh_CN
pt_BR
nl_NL
da
th
fi
ru
es_MX
no
","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Latitude","Latitude","double","","","","18","","","","","","","","True","","",""
