Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Content Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Content Size","ContentSize","int","","","","","","","","","","","","True","","",""
"Content URL","ContentUrl","url","255","","","","","","","","","","","True","","",""
"ContentDocument ID","ContentDocumentId","reference","18","","","","","","","","ContentDocument","ContentDocument","","True","","",""
"Created","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"External Data Source","ExternalDataSourceName","string","80","","","","","","","","","","","True","","",""
"File Extension","FileExtension","string","40","","","","","","","","","","","True","","",""
"File Type","FileType","string","20","","","","","","","","","","","True","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Owner ID","OwnerId","reference","18","","","","","","","","Owner","User","","","","",""
"Title","Title","string","255","","","","","","","","","","","","","",""
"User Owned Content Document Id","Id","id","18","","","","","","","","","","","","","",""
