Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"API Enabled","PermissionsApiEnabled","boolean","","","","","","","","","","","","","True","",""
"Access Chatter For SharePoint","PermissionsChatterForSharePoint","boolean","","","","","","","","","","","","","True","",""
"Access Custom Mobile Apps","PermissionsCustomMobileAppsAccess","boolean","","","","","","","","","","","","","True","",""
"Activate Contracts","PermissionsActivateContract","boolean","","","","","","","","","","","","","True","",""
"Activate Orders","PermissionsActivateOrder","boolean","","","","","","","","","","","","","True","",""
"Allow View Knowledge","PermissionsAllowViewKnowledge","boolean","","","","","","","","","","","","","True","",""
"Assign Permission Sets","PermissionsAssignPermissionSets","boolean","","","","","","","","","","","","","True","",""
"Assign Topics","PermissionsAssignTopics","boolean","","","","","","","","","","","","","True","",""
"Author Apex","PermissionsAuthorApex","boolean","","","","","","","","","","","","","True","",""
"Bulk API Hard Delete","PermissionsBulkApiHardDelete","boolean","","","","","","","","","","","","","True","",""
"Chatter Internal User","PermissionsChatterInternalUser","boolean","","","","","","","","","","","","","True","",""
"Connect Organization to Environment Hub","PermissionsConnectOrgToEnvironmentHub","boolean","","","","","","","","","","","","","True","",""
"Convert Leads","PermissionsConvertLeads","boolean","","","","","","","","","","","","","True","",""
"Create AppExchange Packages","PermissionsCreatePackaging","boolean","","","","","","","","","","","","","True","",""
"Create Dashboard Folders","PermissionsCreateDashboardFolders","boolean","","","","","","","","","","","","","True","",""
"Create Libraries","PermissionsCreateWorkspaces","boolean","","","","","","","","","","","","","True","",""
"Create Report Folders","PermissionsCreateReportFolders","boolean","","","","","","","","","","","","","True","",""
"Create Topics","PermissionsCreateTopics","boolean","","","","","","","","","","","","","True","",""
"Create and Customize Dashboards","PermissionsCreateCustomizeDashboards","boolean","","","","","","","","","","","","","True","",""
"Create and Customize List Views","PermissionsCreateCustomizeFilters","boolean","","","","","","","","","","","","","True","",""
"Create and Customize Reports","PermissionsCreateCustomizeReports","boolean","","","","","","","","","","","","","True","",""
"Create and Own New Chatter Groups","PermissionsChatterOwnGroups","boolean","","","","","","","","","","","","","True","",""
"Create and Set Up Communities","PermissionsManageNetworks","boolean","","","","","","","","","","","","","True","",""
"Create and Share Content Deliveries for Chatter Files","PermissionsChatterFileLink","boolean","","","","","","","","","","","","","True","",""
"Create custom Badge Definitions","PermissionsCreateWorkBadgeDefinition","boolean","","","","","","","","","","","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Customize Application","PermissionsCustomizeApplication","boolean","","","","","","","","","","","","","True","",""
"Delete Activated Contracts","PermissionsDeleteActivatedContract","boolean","","","","","","","","","","","","","True","",""
"Delete Topics","PermissionsDeleteTopics","boolean","","","","","","","","","","","","","True","",""
"Deliver Uploaded Files and Personal Content","PermissionsDistributeFromPersWksp","boolean","","","","","","","","","","","","","True","",""
"Description","Description","string","255","","","","","","","","","","","True","True","",""
"Download AppExchange Packages","PermissionsInstallPackaging","boolean","","","","","","","","","","","","","True","",""
"Drag-and-Drop Dashboard Builder","PermissionsCanUseNewDashboardBuilder","boolean","","","","","","","","","","","","","True","",""
"Edit Activated Orders","PermissionsEditActivatedOrders","boolean","","","","","","","","","","","","","True","",""
"Edit Case Comments","PermissionsEditCaseComments","boolean","","","","","","","","","","","","","True","",""
"Edit Events","PermissionsEditEvent","boolean","","","","","","","","","","","","","True","",""
"Edit HTML Templates","PermissionsEditHtmlTemplates","boolean","","","","","","","","","","","","","True","",""
"Edit My Dashboards","PermissionsEditMyDashboards","boolean","","","","","","","","","","","","","True","",""
"Edit My Reports","PermissionsEditMyReports","boolean","","","","","","","","","","","","","True","",""
"Edit Opportunity Product Sales Price","PermissionsEditOppLineItemUnitPrice","boolean","","","","","","","","","","","","","True","",""
"Edit Read Only Fields","PermissionsEditReadonlyFields","boolean","","","","","","","","","","","","","True","",""
"Edit Tasks","PermissionsEditTask","boolean","","","","","","","","","","","","","True","",""
"Edit Topics","PermissionsEditTopics","boolean","","","","","","","","","","","","","True","",""
"Email Administration","PermissionsEmailAdministration","boolean","","","","","","","","","","","","","True","",""
"Email-Based Identity Confirmation Option","PermissionsAllowEmailIC","boolean","","","","","","","","","","","","","True","",""
"Enable Work.com","PermissionsWorkDotComUserPerm","boolean","","","","","","","","","","","","","True","",""
"Enable Work.com Calibration","PermissionsWorkCalibrationUser","boolean","","","","","","","","","","","","","True","",""
"Export Reports","PermissionsExportReport","boolean","","","","","","","","","","","","","True","",""
"Import Leads","PermissionsImportLeads","boolean","","","","","","","","","","","","","True","",""
"Import Personal Contacts","PermissionsImportPersonal","boolean","","","","","","","","","","","","","True","",""
"Import Solutions","PermissionsSolutionImport","boolean","","","","","","","","","","","","","True","",""
"Insert System Field Values for Chatter Feeds","PermissionsCanInsertFeedSystemFields","boolean","","","","","","","","","","","","","True","",""
"Invite Customers To Chatter","PermissionsChatterInviteExternalUsers","boolean","","","","","","","","","","","","","True","",""
"Is Owned By Profile","IsOwnedByProfile","boolean","","","","","","","","","","","","","","",""
"Knowledge One","PermissionsAllowUniversalSearch","boolean","","","","","","","","","","","","","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Manage Articles","PermissionsEditKnowledge","boolean","","","","","","","","","","","","","True","",""
"Manage Auth. Providers","PermissionsManageAuthProviders","boolean","","","","","","","","","","","","","True","",""
"Manage Business Hours Holidays","PermissionsManageBusinessHourHolidays","boolean","","","","","","","","","","","","","True","",""
"Manage Call Centers","PermissionsManageCallCenters","boolean","","","","","","","","","","","","","True","",""
"Manage Cases","PermissionsManageCases","boolean","","","","","","","","","","","","","True","",""
"Manage Categories","PermissionsManageCategories","boolean","","","","","","","","","","","","","True","",""
"Manage Chatter Messages","PermissionsManageChatterMessages","boolean","","","","","","","","","","","","","True","",""
"Manage Communities","PermissionsGovernNetworks","boolean","","","","","","","","","","","","","True","",""
"Manage Connected Apps","PermissionsManageRemoteAccess","boolean","","","","","","","","","","","","","True","",""
"Manage Content Permissions","PermissionsManageContentPermissions","boolean","","","","","","","","","","","","","True","",""
"Manage Content Properties","PermissionsManageContentProperties","boolean","","","","","","","","","","","","","True","",""
"Manage Content Types","PermissionsManageContentTypes","boolean","","","","","","","","","","","","","True","",""
"Manage Custom Permissions","PermissionsManageCustomPermissions","boolean","","","","","","","","","","","","","True","",""
"Manage Custom Report Types","PermissionsManageCustomReportTypes","boolean","","","","","","","","","","","","","True","",""
"Manage Dashboards in Public Folders","PermissionsManageDashbdsInPubFolders","boolean","","","","","","","","","","","","","True","",""
"Manage Data Categories","PermissionsManageDataCategories","boolean","","","","","","","","","","","","","True","",""
"Manage Data Integrations","PermissionsManageDataIntegrations","boolean","","","","","","","","","","","","","True","",""
"Manage Dynamic Dashboards","PermissionsManageDynamicDashboards","boolean","","","","","","","","","","","","","True","",""
"Manage Email Client Configurations","PermissionsManageEmailClientConfig","boolean","","","","","","","","","","","","","True","",""
"Manage Email Templates","PermissionsEmailTemplateManagement","boolean","","","","","","","","","","","","","True","",""
"Manage Force.com Flow","PermissionsManageInteraction","boolean","","","","","","","","","","","","","True","",""
"Manage IP Addresses","PermissionsManageIpAddresses","boolean","","","","","","","","","","","","","True","",""
"Manage Internal Users","PermissionsManageInternalUsers","boolean","","","","","","","","","","","","","True","",""
"Manage Knowledge Article Import/Export","PermissionsManageKnowledgeImportExport","boolean","","","","","","","","","","","","","True","",""
"Manage Leads","PermissionsManageLeads","boolean","","","","","","","","","","","","","True","",""
"Manage Letterheads","PermissionsEditBrandTemplates","boolean","","","","","","","","","","","","","True","",""
