Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"API Enabled","PermissionsApiEnabled","boolean","","","","","","","","","","","","","","",""
"Access Chatter For SharePoint","PermissionsChatterForSharePoint","boolean","","","","","","","","","","","","","","",""
"Access Custom Mobile Apps","PermissionsCustomMobileAppsAccess","boolean","","","","","","","","","","","","","","",""
"Activate Contracts","PermissionsActivateContract","boolean","","","","","","","","","","","","","","",""
"Activate Orders","PermissionsActivateOrder","boolean","","","","","","","","","","","","","","",""
"Allow View Knowledge","PermissionsAllowViewKnowledge","boolean","","","","","","","","","","","","","","",""
"Assign Permission Sets","PermissionsAssignPermissionSets","boolean","","","","","","","","","","","","","","",""
"Assign Topics","PermissionsAssignTopics","boolean","","","","","","","","","","","","","","",""
"Author Apex","PermissionsAuthorApex","boolean","","","","","","","","","","","","","","",""
"Bulk API Hard Delete","PermissionsBulkApiHardDelete","boolean","","","","","","","","","","","","","","",""
"Chatter Internal User","PermissionsChatterInternalUser","boolean","","","","","","","","","","","","","","",""
"Connect Organization to Environment Hub","PermissionsConnectOrgToEnvironmentHub","boolean","","","","","","","","","","","","","","",""
"Convert Leads","PermissionsConvertLeads","boolean","","","","","","","","","","","","","","",""
"Create AppExchange Packages","PermissionsCreateMultiforce","boolean","","","","","","","","","","","","","","",""
"Create Dashboard Folders","PermissionsCreateDashboardFolders","boolean","","","","","","","","","","","","","","",""
"Create Libraries","PermissionsCreateWorkspaces","boolean","","","","","","","","","","","","","","",""
"Create Report Folders","PermissionsCreateReportFolders","boolean","","","","","","","","","","","","","","",""
"Create Topics","PermissionsCreateTopics","boolean","","","","","","","","","","","","","","",""
"Create and Customize Dashboards","PermissionsCreateCustomizeDashboards","boolean","","","","","","","","","","","","","","",""
"Create and Customize List Views","PermissionsCreateCustomizeFilters","boolean","","","","","","","","","","","","","","",""
"Create and Customize Reports","PermissionsCreateCustomizeReports","boolean","","","","","","","","","","","","","","",""
"Create and Own New Chatter Groups","PermissionsChatterOwnGroups","boolean","","","","","","","","","","","","","","",""
"Create and Set Up Communities","PermissionsManageNetworks","boolean","","","","","","","","","","","","","","",""
"Create and Share Content Deliveries for Chatter Files","PermissionsChatterFileLink","boolean","","","","","","","","","","","","","","",""
"Create custom Badge Definitions","PermissionsCreateWorkBadgeDefinition","boolean","","","","","","","","","","","","","","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Customize Application","PermissionsCustomizeApplication","boolean","","","","","","","","","","","","","","",""
"Delete Activated Contracts","PermissionsDeleteActivatedContract","boolean","","","","","","","","","","","","","","",""
"Delete Topics","PermissionsDeleteTopics","boolean","","","","","","","","","","","","","","",""
"Deliver Uploaded Files and Personal Content","PermissionsDistributeFromPersWksp","boolean","","","","","","","","","","","","","","",""
"Description","Description","string","255","","","","","","","","","","","True","","",""
"Download AppExchange Packages","PermissionsInstallMultiforce","boolean","","","","","","","","","","","","","","",""
"Drag-and-Drop Dashboard Builder","PermissionsCanUseNewDashboardBuilder","boolean","","","","","","","","","","","","","","",""
"Edit Activated Orders","PermissionsEditActivatedOrders","boolean","","","","","","","","","","","","","","",""
"Edit Case Comments","PermissionsEditCaseComments","boolean","","","","","","","","","","","","","","",""
"Edit Events","PermissionsEditEvent","boolean","","","","","","","","","","","","","","",""
"Edit HTML Templates","PermissionsEditHtmlTemplates","boolean","","","","","","","","","","","","","","",""
"Edit My Dashboards","PermissionsEditMyDashboards","boolean","","","","","","","","","","","","","","",""
"Edit My Reports","PermissionsEditMyReports","boolean","","","","","","","","","","","","","","",""
"Edit Opportunity Product Sales Price","PermissionsEditOppLineItemUnitPrice","boolean","","","","","","","","","","","","","","",""
"Edit Read Only Fields","PermissionsEditReadonlyFields","boolean","","","","","","","","","","","","","","",""
"Edit Tasks","PermissionsEditTask","boolean","","","","","","","","","","","","","","",""
"Edit Topics","PermissionsEditTopics","boolean","","","","","","","","","","","","","","",""
"Email Administration","PermissionsEmailAdministration","boolean","","","","","","","","","","","","","","",""
"Email-Based Identity Confirmation Option","PermissionsAllowEmailIC","boolean","","","","","","","","","","","","","","",""
"Enable Work.com","PermissionsWorkDotComUserPerm","boolean","","","","","","","","","","","","","","",""
"Enable Work.com Calibration","PermissionsWorkCalibrationUser","boolean","","","","","","","","","","","","","","",""
"Export Reports","PermissionsExportReport","boolean","","","","","","","","","","","","","","",""
"Import Leads","PermissionsImportLeads","boolean","","","","","","","","","","","","","","",""
"Import Personal Contacts","PermissionsImportPersonal","boolean","","","","","","","","","","","","","","",""
"Import Solutions","PermissionsSolutionImport","boolean","","","","","","","","","","","","","","",""
"Insert System Field Values for Chatter Feeds","PermissionsCanInsertFeedSystemFields","boolean","","","","","","","","","","","","","","",""
"Invite Customers To Chatter","PermissionsChatterInviteExternalUsers","boolean","","","","","","","","","","","","","","",""
"Knowledge One","PermissionsAllowUniversalSearch","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Referenced Date","LastReferencedDate","datetime","","","","","","","","","","","","True","","",""
"Last Viewed Date","LastViewedDate","datetime","","","","","","","","","","","","True","","",""
"Manage Articles","PermissionsEditKnowledge","boolean","","","","","","","","","","","","","","",""
"Manage Auth. Providers","PermissionsManageAuthProviders","boolean","","","","","","","","","","","","","","",""
"Manage Business Hours Holidays","PermissionsManageBusinessHourHolidays","boolean","","","","","","","","","","","","","","",""
"Manage Call Centers","PermissionsManageCallCenters","boolean","","","","","","","","","","","","","","",""
"Manage Cases","PermissionsManageCases","boolean","","","","","","","","","","","","","","",""
"Manage Categories","PermissionsManageCategories","boolean","","","","","","","","","","","","","","",""
"Manage Chatter Messages","PermissionsManageChatterMessages","boolean","","","","","","","","","","","","","","",""
"Manage Communities","PermissionsGovernNetworks","boolean","","","","","","","","","","","","","","",""
"Manage Connected Apps","PermissionsManageRemoteAccess","boolean","","","","","","","","","","","","","","",""
"Manage Content Permissions","PermissionsManageContentPermissions","boolean","","","","","","","","","","","","","","",""
"Manage Content Properties","PermissionsManageContentProperties","boolean","","","","","","","","","","","","","","",""
"Manage Content Types","PermissionsManageContentTypes","boolean","","","","","","","","","","","","","","",""
"Manage Custom Permissions","PermissionsManageCustomPermissions","boolean","","","","","","","","","","","","","","",""
"Manage Custom Report Types","PermissionsManageCustomReportTypes","boolean","","","","","","","","","","","","","","",""
"Manage Dashboards in Public Folders","PermissionsManageDashbdsInPubFolders","boolean","","","","","","","","","","","","","","",""
"Manage Data Categories","PermissionsManageDataCategories","boolean","","","","","","","","","","","","","","",""
"Manage Data Integrations","PermissionsManageDataIntegrations","boolean","","","","","","","","","","","","","","",""
"Manage Dynamic Dashboards","PermissionsManageDynamicDashboards","boolean","","","","","","","","","","","","","","",""
"Manage Email Client Configurations","PermissionsManageEmailClientConfig","boolean","","","","","","","","","","","","","","",""
"Manage Email Templates","PermissionsEmailTemplateManagement","boolean","","","","","","","","","","","","","","",""
"Manage Force.com Flow","PermissionsManageInteraction","boolean","","","","","","","","","","","","","","",""
"Manage IP Addresses","PermissionsManageIpAddresses","boolean","","","","","","","","","","","","","","",""
"Manage Internal Users","PermissionsManageInternalUsers","boolean","","","","","","","","","","","","","","",""
"Manage Knowledge Article Import/Export","PermissionsManageKnowledgeImportExport","boolean","","","","","","","","","","","","","","",""
"Manage Leads","PermissionsManageLeads","boolean","","","","","","","","","","","","","","",""
"Manage Letterheads","PermissionsEditBrandTemplates","boolean","","","","","","","","","","","","","","",""
"Manage Login Access Policies","PermissionsManageLoginAccessPolicies","boolean","","","","","","","","","","","","","","",""
"Manage Mobile Configurations","PermissionsManageMobile","boolean","","","","","","","","","","","","","","",""
"Manage Password Policies","PermissionsManagePasswordPolicies","boolean","","","","","","","","","","","","","","",""
"Manage Profiles and Permission Sets","PermissionsManageProfilesPermissionsets","boolean","","","","","","","","","","","","","","",""
"Manage Promoted Search Terms","PermissionsManageSearchPromotionRules","boolean","","","","","","","","","","","","","","",""
"Manage Public Documents","PermissionsEditPublicDocuments","boolean","","","","","","","","","","","","","","",""
"Manage Public Templates","PermissionsEditPublicTemplates","boolean","","","","","","","","","","","","","","",""
"Manage Published Solutions","PermissionsManageSolutions","boolean","","","","","","","","","","","","","","",""
"Manage Reporting Snapshots","PermissionsManageAnalyticSnapshots","boolean","","","","","","","","","","","","","","",""
