Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Description","Description","string","255","","","","","","","","","","","True","","",""
"Format","Format","picklist","40","","","","MultiBlock
Matrix
Summary
Tabular
","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Last Referenced Date","LastReferencedDate","datetime","","","","","","","","","","","","True","","",""
"Last Run","LastRunDate","datetime","","","","","","","","","","","","True","","",""
"Last Viewed Date","LastViewedDate","datetime","","","","","","","","","","","","True","","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"Owner ID","OwnerId","reference","18","","","","","","","","","Folder","","","","",""
"Report ID","Id","id","18","","","","","","","","","","","","","",""
"Report Name","Name","string","40","","","","","","","","","","","","","",""
"Report Unique Name","DeveloperName","string","80","","","","","","","","","","","","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
