Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Name","PluginName","string","64","","","","","","","","","","","True","","",""
"Secure Agent ID","SecureAgentId","reference","18","","","","","","","","SecureAgent","SecureAgent","","","","",""
"Secure Agent Plugin ID","Id","id","18","","","","","","","","","","","","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Type","PluginType","string","255","","","","","","","","","","","True","","",""
"Update Window End","UpdateWindowEnd","datetime","","","","","","","","","","","","True","","",""
"Update Window Start","UpdateWindowStart","datetime","","","","","","","","","","","","True","","",""
"Version","RequestedVersion","string","255","","","","","","","","","","","True","","",""
