Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"About Me","AboutMe","textarea","1000","","","","","","","","","","","True","True","",""
"Account ID","AccountId","reference","18","","","","","","","","Account","Account","","True","","",""
"Active","IsActive","boolean","","","","","","","","","","","","","True","",""
"ActivityRemindersPopup","UserPreferencesActivityRemindersPopup","boolean","","","","","","","","","","","","","True","",""
"Address","Address","address","","","","","","","","","","","","True","","",""
"Admin Info Emails","ReceivesAdminInfoEmails","boolean","","","","","","","","","","","","","True","",""
"Alias","Alias","string","8","","","","","","","","","","","","True","",""
"Allow Forecasting","ForecastEnabled","boolean","","","","","","","","","","","","","True","",""
"Apex Mobile User","UserPermissionsMobileUser","boolean","","","","","","","","","","","","","True","",""
"ApexPagesDeveloperMode","UserPreferencesApexPagesDeveloperMode","boolean","","","","","","","","","","","","","True","",""
"Auto-login To Call Center","UserPermissionsCallCenterAutoLogin","boolean","","","","","","","","","","","","","True","",""
"AutoBcc","EmailPreferencesAutoBcc","boolean","","","","","","","","","","","","","True","",""
"AutoBccStayInTouch","EmailPreferencesAutoBccStayInTouch","boolean","","","","","","","","","","","","","True","",""
"Call Center ID","CallCenterId","reference","18","","","","","","","","","CallCenter","","True","True","",""
"Cell","MobilePhone","phone","40","","","","","","","","","","","True","True","",""
"Chatter Answers User","UserPermissionsChatterAnswersUser","boolean","","","","","","","","","","","","","True","",""
"Chatter Email Highlights Frequency","DigestFrequency","picklist","40","","","","D
W
N
","","","","","","","","True","",""
"City","City","string","40","","","","","","","","","","","True","True","",""
"Company Name","CompanyName","string","80","","","","","","","","","","","True","True","",""
"Contact ID","ContactId","reference","18","","","","","","","","Contact","Contact","","True","True","",""
"ContentEmailAsAndWhen","UserPreferencesContentEmailAsAndWhen","boolean","","","","","","","","","","","","","True","",""
"ContentNoEmail","UserPreferencesContentNoEmail","boolean","","","","","","","","","","","","","True","",""
"Country","Country","string","80","","","","","","","","","","","True","True","",""
