Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Behavior","OpenType","picklist","40","","","","newWindow
sidebar
noSidebar
replace
onClickJavaScript
","","","","","","","","True","",""
"Content Source","LinkType","picklist","40","","","","url
sControl
javascript
page
flow
","","","","","","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Custom Link ID","Id","id","18","","","","","","","","","","","","","",""
"Custom S-Control ID","ScontrolId","reference","18","","","","","","","","","ApexPage","","True","True","",""
"Description","Description","textarea","1000","","","","","","","","","","","True","True","",""
"Display Type","DisplayType","picklist","40","","","","L
B
M
","","","","","","","","True","",""
"Height (in pixels)","Height","int","","","","","","","","","","","","True","True","",""
"Label","MasterLabel","string","240","","","","","","","","","","","True","True","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"Link Encoding","EncodingKey","picklist","40","","","","UTF-8
ISO-8859-1
Shift_JIS
ISO-2022-JP
EUC-JP
ks_c_5601-1987
Big5
GB2312
Big5-HKSCS
x-SJIS_0213
","","","","","","","","True","",""
"Name","Name","string","240","","","","","","","","","","","","True","",""
"Namespace Prefix","NamespacePrefix","string","15","","","","","","","","","","","True","","",""
"Page Or sObject Type Name","PageOrSobjectType","picklist","40","","","","Account
Activity
Application__c
Asset
Campaign
CampaignMember
Case
Contact
ContentVersion
Contract
CustomPageItem
DandBCompany
DashboardComponent
Event
Idea
Lead
Macro
Opportunity
OpportunityLineItem
Order
OrderItem
Previous_Address__c
Previous_Name__c
Product2
Solution
Task
User
WorkCoaching
WorkFeedback
WorkFeedbackQuestion
WorkFeedbackQuestionSet
WorkFeedbackRequest
WorkGoal
WorkGoalCollaborator
WorkGoalLink
WorkPerformanceCycle
","","","","","","","","True","",""
"Protected Component","IsProtected","boolean","","","","","","","","","","","","","True","",""
"Require Row Selection","RequireRowSelection","boolean","","","","","","","","","","","","","True","",""
"Resizeable","IsResizable","boolean","","","","","","","","","","","","","True","",""
"Show Address Bar","ShowsLocation","boolean","","","","","","","","","","","","","True","",""
"Show Menu Bar","HasMenubar","boolean","","","","","","","","","","","","","True","",""
"Show Scrollbars","HasScrollbars","boolean","","","","","","","","","","","","","True","",""
"Show Status Bar","ShowsStatus","boolean","","","","","","","","","","","","","True","",""
"Show Toolbars","HasToolbar","boolean","","","","","","","","","","","","","True","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"URL","Url","textarea","1048576","","","","","","","","","","","True","True","",""
"Width (in pixels)","Width","int","","","","","","","","","","","","True","True","",""
"Window Position","Position","picklist","40","","","","fullScreen
none
topLeft
","","","","","","","True","True","",""
